ID,Gender,Age,Height,Weight,BMI
1001,Female,23,1.6,52,20.3125
1002,Male,19,1.8,80,24.69135802
1003,Male,20,1.83,66,19.70796381
1004,Male,25,1.78,78,24.61810377
1005,Female,19,1.64,53,19.70553242
1006,Female,51,1.59,50,19.77769867
1007,Male,19,1.83,82,24.48565201
1008,Male,18,1.87,67,19.15982728
1009,Female,24,1.56,60,24.65483235
1010,Female,19,1.51,45,19.73597649
1011,Male,17,1.79,57,17.78970694
1012,Male,27,1.8,87,26.85185185
1013,Male,30,1.8,91,28.08641975
1014,Male,25,1.78,98,30.93043808
1015,Female,21,1.75,88,28.73469388
1016,Male,38,1.7,78,26.98961938
1017,Female,21,1.65,88,32.32323232
1018,Male,41,1.8,99,30.55555556
1019,Female,31,1.58,68,27.23922448
1020,Male,55,1.65,80,29.38475666
1021,Male,21,1.76,78,25.18078512
1022,Male,19,1.76,79,25.5036157
1023,Female,18,1.57,50,20.28479857
1024,Female,34,1.68,77,27.28174603
1025,Female,40,1.58,63,25.23634033
1026,Female,33,1.56,48,19.72386588
1027,Male,23,1.68,70,24.8015873
1028,Male,20,1.8,65,20.0617284
1029,Female,16,1.57,49,19.8791026
1030,Female,17,1.75,57,18.6122449
1031,Male,25,1.7,83,28.71972318
1032,Male,21,1.65,53,19.46740129
1033,Female,21,1.75,78,25.46938776
1034,Male,21,1.85,68,19.86851717
1035,Female,19,1.76,80,25.82644628
1036,Female,21,1.55,49,20.39542144
1037,Male,20,1.83,85,25.38146854
1038,Male,21,1.75,62,20.24489796
1039,Male,21,1.72,75,25.35154137
1040,Female,18,1.45,53,25.20808561
1041,Male,24,1.78,64,20.19946976
1042,Female,23,1.59,48,18.98659072
1043,Female,20,1.62,53,20.19509221
1044,Male,22,1.68,55,19.48696145
1045,Female,21,1.5,42.3,18.8
1046,Female,23,1.75,56,18.28571429
1047,Male,18,1.74,86,28.40533756
1048,Male,23,1.72,76,25.68956193
1049,Male,22,1.61,67,25.84776822
1050,Male,33,1.75,85,27.75510204
1051,Female,21,1.54,47,19.81784449
1052,Male,18,1.78,64.4,20.32571645
1053,Female,20,1.6,50,19.53125
1054,Female,18,1.6,51,19.921875
1055,Male,38,1.75,75,24.48979592
1056,Male,18,1.76,70,22.5981405
1057,Female,16,1.6,57,22.265625
1058,Female,18,1.64,59,21.93634741
1059,Male,23,1.65,58.5,21.48760331
1060,Male,21,1.67,60,21.51385851
1061,Female,24,1.6,51,19.921875
1062,Female,21,1.6,48,18.75
1063,Male,23,1.65,67,24.6097337
1064,Female,19,1.5,45,20
1065,Male,20,1.6,50,19.53125
1066,Male,23,1.7,69,23.87543253
1067,Female,24,1.6,48,18.75
1068,Female,21,1.62,64,24.38652644
1069,Female,18,1.62,50,19.05197378
1070,Male,17,1.7,55,19.03114187
1071,Male,33,1.74,76,25.10239133
1072,Male,21,1.82,67,20.22702572
1073,Female,16,1.61,65,25.07619305
1074,Male,20,1.9,91,25.20775623
1075,Male,18,1.65,70,25.71166208
1076,Female,17,1.65,67,24.6097337
1077,Male,23,1.8,77,23.7654321
1078,Female,18,1.5,50,22.22222222
1079,Female,25,1.61,61,23.53304271
1080,Female,61,1.65,66,24.24242424
1081,Female,21,1.63,66,24.84098009
1082,Male,20,1.81,79,24.11403803
1083,Female,22,1.56,49,20.13477975
1084,Male,23,1.77,60,19.15158479
1085,Male,25,1.87,66,18.8738597
1086,Male,19,1.69,65,22.75830678
1087,Female,21,1.66,64,23.22543185
1088,Female,24,1.65,60,22.03856749
1089,Male,19,1.67,68,24.38237298
1090,Female,18,1.63,63,23.71184463
1091,Female,19,1.6,60,23.4375
1092,Male,19,1.74,74,24.44180209
1093,Female,19,1.61,62,23.91883029
1094,Male,21,1.81,80,24.41927902
1095,Female,22,1.69,65,22.75830678
1096,Male,26,1.7,70,24.22145329
1097,Male,38,1.75,75,24.48979592
1098,Male,22,1.7,70,24.22145329
1099,Female,19,1.69,70,24.50894577
1100,Female,23,1.6,63,24.609375
1101,Male,20,1.84,104,30.71833648
1102,Male,20,1.98,125,31.88450158
1103,Female,18,1.54,71,29.93759487
1104,Male,26,1.75,80,26.12244898
1105,Male,17,1.9,60,16.62049861
1106,Female,17,1.6,65,25.390625
1107,Male,16,1.67,50,17.92821543
1108,Female,17,1.58,50,20.02884153
1109,Female,37,1.65,73,26.81359045
1110,Male,19,1.78,64,20.19946976
1111,Male,24,1.66,67,24.31412397
1112,Male,21,1.88,84,23.76641014
1113,Female,21,1.6,61,23.828125
1114,Male,20,1.72,70,23.66143862
1115,Female,17,1.53,55,23.49523687
1116,Female,18,1.67,91,32.62935207
1117,Female,32,1.67,90,32.27078777
1118,Female,23,1.6,78,30.46875
1119,Male,18,1.7,90,31.14186851
1120,Male,39,1.79,90,28.08901095
1121,Male,21,1.85,83,24.25127831
1122,Male,20,1.56,45,18.49112426
1123,Female,22,1.61,63,24.30461788
1124,Male,21,1.64,65,24.1671624
1125,Male,25,1.71,71,24.28097534
1126,Female,37,1.68,83,29.40759637
1127,Female,19,1.65,82,30.11937557
1128,Female,18,1.59,40,15.82215893
1129,Female,23,1.6,83,32.421875
1130,Male,19,1.75,100,32.65306122
1131,Male,31,1.76,75,24.21229339
1132,Female,23,1.5,55,24.44444444
1133,Male,19,1.85,65,18.99196494
1134,Male,21,1.8,62,19.13580247
1135,Male,25,1.66,68,24.67702134
1136,Female,18,1.59,53,20.96436059
1137,Female,18,1.6,56,21.875
1138,Female,21,1.61,54.5,21.0254234
1139,Female,20,1.56,51.5,21.16206443
1140,Male,33,1.76,66.5,21.46823347
1141,Male,41,1.75,118,38.53061224
1142,Male,30,1.76,112,36.15702479
1143,Male,23,1.75,120,39.18367347
1144,Male,21,1.85,125,36.5230095
1145,Female,24,1.6,100.5,39.2578125
1146,Male,41,1.75,110,35.91836735
1147,Male,21,1.71,100,34.19855682
1148,Male,33,1.83,113,33.74242289
1149,Male,29,1.62,89,33.91251334
1150,Male,20,1.8,114,35.18518519
1151,Male,35,1.78,105,33.13975508
1152,Female,26,1.56,102,41.91321499
1153,Male,18,1.87,173,49.47238983
1154,Male,32,1.75,120,39.18367347
1155,Female,26,1.66,112,40.64450573
1156,Male,26,1.7,70,24.22145329
1157,Female,20,1.5,44,19.55555556
1158,Female,36,1.58,60,24.03460984
1159,Female,20,1.68,68,24.09297052
1160,Male,26,1.83,82,24.48565201
1161,Male,19,1.85,115,33.60116874
1162,Male,30,1.77,109,34.79204571
1163,Female,40,1.56,80,32.8731098
1164,Female,20,1.54,39,16.44459437
1165,Female,23,1.63,83,31.23941436
1166,Male,22,1.84,84,24.81096408
1167,Female,23,1.64,52,19.33372992
1168,Male,20,1.6,50,19.53125
1169,Male,18,1.7,55.3,19.1349481
1170,Male,18,1.85,66,19.28414901
1171,Female,20,1.61,64,24.69040546
1172,Female,16,1.55,45,18.73048907
1173,Male,21,1.68,70,24.8015873
1174,Female,18,1.58,48,19.22768787
1175,Male,21,1.75,75,24.48979592
1176,Male,23,1.8,60,18.51851852
1177,Female,21,1.63,51,19.1953028
1178,Female,35,1.53,45,19.22337562
1179,Male,17,1.74,56,18.49649888
1180,Female,18,1.63,51,19.1953028
1181,Female,17,1.7,56,19.37716263
1182,Male,22,1.74,75,24.77209671
1183,Female,20,1.62,52,19.81405274
1184,Male,18,1.72,55,18.59113034
1185,Female,23,1.7,56,19.37716263
1186,Male,17,1.66,56,20.32225287
1187,Male,29,1.62,53,20.19509221
1188,Female,26,1.59,47,18.59103675
1189,Male,17,1.7,70,24.22145329
1190,Female,20,1.57,60,24.34175829
1191,Female,18,1.57,48,19.47340663
1192,Male,22,1.64,53,19.70553242
1193,Male,23,1.62,53,20.19509221
1194,Male,19,1.8,60,18.51851852
1195,Female,25,1.56,45,18.49112426
1196,Female,25,1.57,55,22.31327843
1197,Male,25,1.89,75,20.99605274
1198,Male,23,1.62,58,22.10028959
1199,Female,18,1.62,55,20.95717116
1200,Male,27,1.83,71,21.20099137
1201,Male,18,1.7,60,20.76124567
1202,Male,18,1.74,64,21.13885586
1203,Female,18,1.6,55,21.484375
1204,Female,38,1.64,59.8,22.23378941
1205,Female,20,1.66,60,21.77384236
1206,Male,18,1.8,80,24.69135802
1207,Female,19,1.67,64,22.94811574
1208,Male,23,1.72,70,23.66143862
1209,Female,22,1.65,65,23.87511478
1210,Male,23,1.72,66,22.30935641
1211,Female,18,1.56,55,22.60026298
1212,Male,21,1.7,65,22.49134948
1213,Male,21,1.75,72,23.51020408
1214,Male,21,1.8,73,22.5308642
1215,Male,23,1.75,75,24.48979592
1216,Female,23,1.65,90,33.05785124
1217,Male,25,1.83,121,36.13126698
1218,Female,25,1.63,93,35.00319922
1219,Male,30,1.92,130,35.26475694
1220,Male,18,1.79,52,16.22920633
1221,Male,17,1.7,98,33.9100346
1222,Male,23,1.74,105,34.68093539
1223,Female,17,1.8,50,15.43209877
1224,Male,16,1.84,45,13.2915879
1225,Female,41,1.54,80,33.73250126
1226,Male,21,1.75,50,16.32653061
1227,Female,29,1.53,78,33.32051775
1228,Female,37,1.5,75,33.33333333
1229,Female,25.196214,1.686306,104.572712,36.77440043
1230,Male,23,1.65,95,34.89439853
1231,Male,18,1.78,108,34.08660523
1232,Male,17,1.67,60,21.51385851
1233,Male,20,1.65,58,21.30394858
1234,Male,21,1.65,60,22.03856749
1235,Female,23,1.66,60,21.77384236
1236,Male,16,1.82,71,21.43460935
1237,Female,25,1.57,55,22.31327843
1238,Female,17,1.6,59,23.046875
1239,Female,21,1.72,66.5,22.47836668
1240,Female,21,1.53,53,22.64086462
1241,Female,21,1.55,58,24.14151925
1242,Male,22,1.74,75,24.77209671
1243,Male,19,1.8,60,18.51851852
1244,Male,18,1.7,55,19.03114187
1245,Male,26,1.7,72,24.91349481
1246,Male,21,1.7,65,22.49134948
1247,Female,38,1.55,59,24.55775234
1248,Male,26,1.9,80,22.16066482
1249,Female,21,1.54,56,23.61275089
1250,Male,17,1.72,62,20.9572742
1251,Female,24,1.56,51,20.9566075
1252,Male,21,1.66,62,22.4996371
1253,Female,22,1.65,60,22.03856749
1254,Female,24,1.62,58,22.10028959
1255,Male,19,1.88,79,22.35174287
1256,Male,25,1.7,68,23.52941176
1257,Female,22,1.7,66,22.83737024
1258,Male,34,1.78,73,23.0400202
1259,Male,22,1.7,66.4,22.97577855
1260,Female,31,1.68,63,22.32142857
1261,Male,18,1.93,86,23.08786813
1262,Female,26,1.65,63,23.14049587
1263,Male,27,1.85,75,21.9138057
1264,Female,21,1.52,56,24.23822715
1265,Male,17,1.75,70,22.85714286
1266,Male,19,1.75,76,24.81632653
1267,Female,27,1.6,61,23.828125
1268,Female,21,1.55,57,23.72528616
1269,Female,17,1.63,65,24.4646016
1270,Male,24,1.7,68,23.52941176
1271,Female,21,1.69,63,22.05805119
1272,Male,20,1.77,70,22.34351559
1273,Female,19,1.65,61,22.40587695
1274,Male,19,1.69,60,21.0076678
1275,Female,18,1.62,58,22.10028959
1276,Female,20,1.58,53.5,21.43086044
1277,Male,18,1.76,69.5,22.43672521
1278,Female,18,1.6,58,22.65625
1279,Male,20,1.83,72,21.49959688
1280,Male,20,1.7,65,22.49134948
1281,Male,30,1.75,73,23.83673469
1282,Male,18,1.82,80,24.1516725
1283,Male,19,1.75,58,18.93877551
1284,Male,21,1.8,75,23.14814815
1285,Male,19,1.89,87,24.35542118
1286,Female,19,1.5,50,22.22222222
1287,Female,20,1.58,53,21.23057202
1288,Female,22,1.6,55,21.484375
1289,Male,18,1.76,68,21.95247934
1290,Female,21,1.66,59,21.41094498
1291,Female,22,1.69,65,22.75830678
1292,Female,23,1.68,67,23.73866213
1293,Male,21,1.67,67,24.02380867
1294,Male,22,1.75,70,22.85714286
1295,Male,19,1.82,75,22.64219297
1296,Male,20,1.87,75,21.44756785
1297,Male,18,1.74,70,23.1206236
1298,Male,26,1.72,65,21.97133586
1299,Female,16,1.66,58,21.04804761
1300,Male,21,1.8,72,22.22222222
1301,Female,18,1.6,60,23.4375
1302,Male,22,1.67,62,22.23098713
1303,Female,22,1.65,58,21.30394858
1304,Female,26,1.65,60,22.03856749
1305,Male,22,1.72,68,22.98539751
1306,Female,19,1.59,49,19.38214469
1307,Male,14,1.71,72,24.62296091
1308,Female,24,1.77,76,24.25867407
1309,Male,23,1.65,66,24.24242424
1310,Female,20,1.63,64,24.08822312
1311,Female,20,1.6,57,22.265625
1312,Male,18,1.8,72,22.22222222
1313,Female,29,1.74,72,23.78121284
1314,Male,23,1.75,69,22.53061224
1315,Male,19,1.7,65,22.49134948
1316,Female,33,1.55,55,22.89281998
1317,Male,18,1.6,58,22.65625
1318,Female,23,1.66,60,21.77384236
1319,Female,19,1.7,64,22.14532872
1320,Female,29,1.6,56,21.875
1321,Female,23,1.65,59,21.67125803
1322,Male,18,1.75,70,22.85714286
1323,Female,32,1.57,57,23.12467037
1324,Female,16,1.66,58,21.04804761
1325,Male,26,1.91,84,23.0256846
1326,Female,33,1.63,62,23.33546614
1327,Male,33,1.85,85,24.83564646
1328,Male,21,1.72,72,24.33747972
1329,Male,19,1.71,71,24.28097534
1330,Male,22,1.75,74,24.16326531
1331,Male,23,1.65,60,22.03856749
1332,Female,21,1.63,60,22.58270917
1333,Male,25,1.79,72,22.47120876
1334,Female,20,1.67,60,21.51385851
1335,Female,18,1.55,56,23.30905307
1336,Male,21,1.82,72,21.73650525
1337,Male,19,1.8,70,21.60493827
1338,Female,22,1.5,49,21.77777778
1339,Female,30,1.62,59,22.48132907
1340,Male,20,1.6,56,21.875
1341,Male,18,1.73,70,23.38868656
1342,Male,20,1.78,68,21.46193662
1343,Male,18,1.74,64,21.13885586
1344,Male,20,1.8,75,23.14814815
1345,Male,23,1.68,62,21.96712018
1346,Female,18,1.67,66,23.66524436
1347,Male,22,1.65,62,22.77318641
1348,Female,33,1.59,60,23.7332384
1349,Male,20,1.66,60,21.77384236
1350,Female,22,1.58,58,23.23345618
1351,Male,17,1.8,68,20.98765432
1352,Female,19,1.61,53.8,20.75537209
1353,Male,17,1.69,60,21.0076678
1354,Female,19,1.65,56,20.56932966
1355,Female,19,1.63,58,21.8299522
1356,Female,17,1.6,53,20.703125
1357,Female,18,1.62,55,20.95717116
1358,Female,17,1.56,51,20.9566075
1359,Female,22,1.64,56,20.82093992
1360,Female,18,1.56,51,20.9566075
1361,Female,21,1.55,50,20.81165453
1362,Male,22,1.65,56,20.56932966
1363,Male,19,1.7,60,20.76124567
1364,Female,18,1.55,50,20.81165453
1365,Female,21,1.54,49,20.66115702
1366,Female,23,1.63,55,20.70081674
1367,Female,18,1.64,56,20.82093992
1368,Female,21,1.66,57,20.68515024
1369,Male,23,1.68,60,21.2585034
1370,Female,19,1.56,50,20.54569362
1371,Male,22,1.75,95,31.02040816
1372,Male,18,1.72,53,17.91508924
1373,Female,40,1.55,62,25.80645161
1374,Male,20,1.67,78,27.96801606
1375,Male,24,1.75,84,27.42857143
1376,Male,24,1.7,75,25.95155709
1377,Male,33,1.85,99,28.92622352
1378,Female,20,1.62,45,17.14677641
1379,Female,38,1.56,80,32.8731098
1380,Male,23,1.82,107,32.30286197
1381,Male,27,1.7,78,26.98961938
1382,Male,18,1.75,80,26.12244898
1383,Male,18,1.7,50,17.30103806
1384,Male,23,1.76,90,29.05475207
1385,Male,55,1.78,84,26.51180407
1386,Male,34,1.84,88,25.99243856
1387,Female,21,1.53,65,27.76709812
1388,Male,23,1.74,53,17.50561501
1389,Female,18,1.7,50,17.30103806
1390,Female,19,1.51,59,25.87605807
1391,Female,18,1.5,58,25.77777778
1392,Female,21,1.52,42,18.17867036
1393,Male,24,1.7,85,29.41176471
1394,Female,27,1.55,62,25.80645161
1395,Male,21,1.62,70,26.6727633
1396,Male,18,1.77,87,27.76979795
1397,Female,27,1.55,63,26.2226847
1398,Male,21,1.62,70,26.6727633
1399,Female,22,1.68,52,18.42403628
1400,Male,29,1.77,83,26.49302563
1401,Female,40,1.68,80,28.3446712
1402,Female,19,1.6,45,17.578125
1403,Female,18,1.62,68,25.91068435
1404,Male,18,1.84,60,17.7221172
1405,Male,25,1.7,83,28.71972318
1406,Male,18,1.72,53,17.91508924
1407,Male,22,1.74,94,31.04769454
1408,Female,24,1.5,63,28
1409,Male,27,1.83,99,29.56194571
1410,Female,30,1.65,71,26.07897153
1411,Female,23,1.67,75,26.89232314
1412,Female,21,1.62,69,26.29172382
1413,Female,36,1.65,80,29.38475666
1414,Male,18,1.86,110,31.7955833
1415,Male,29,1.69,90,31.5115017
1416,Female,19,1.53,42,17.94181725
1417,Female,18,1.71,75,25.64891762
1418,Male,22,1.72,82,27.71768524
1419,Male,56,1.79,90,28.08901095
1420,Male,27,1.93,102,27.38328546
1421,Male,17,1.8,97,29.9382716
1422,Female,23,1.48,60,27.39225712
1423,Male,27,1.72,88,29.74580855
1424,Female,15,1.65,86,31.58861341
1425,Female,21,1.72,80,27.04164413
1426,Male,17,1.62,69,26.29172382
1427,Female,24,1.6,45,17.578125
1428,Male,22,1.6,66,25.78125
1429,Female,34,1.68,75,26.57312925
1430,Male,20,1.58,74,29.64268547
1431,Male,20,1.8,85,26.2345679
1432,Male,23,1.7,75,25.95155709
1433,Female,21,1.5,65,28.88888889
1434,Male,44,1.6,80,31.25
1435,Male,45,1.7,86,29.75778547
1436,Male,39,1.78,96,30.29920465
1437,Male,34,1.69,84,29.41073492
1438,Male,20,1.65,80,29.38475666
1439,Male,33,1.85,93,27.17311907
1440,Female,28,1.7,73,25.25951557
1441,Male,24,1.84,86,25.40170132
1442,Male,23,1.72,82,27.71768524
1443,Female,23,1.63,82,30.86303587
1444,Female,20,1.65,75,27.54820937
1445,Male,20,1.76,55,17.75568182
1446,Male,17,1.8,58,17.90123457
1447,Male,19,1.78,81,25.56495392
1448,Male,19,1.8,85,26.2345679
1449,Female,23,1.65,80,29.38475666
1450,Female,29,1.7,78,26.98961938
1451,Female,22,1.67,50,17.92821543
1452,Female,21,1.52,42,18.17867036
1453,Female,37.356288,1.559499,77.26813,31.77094996
1454,Male,22,1.65,80,29.38475666
1455,Female,30,1.71,82,28.04281659
1456,Male,18,1.85,60,17.53104456
1457,Male,18,1.7,78,26.98961938
1458,Female,21,1.67,75,26.89232314
1459,Male,18,1.75,85,27.75510204
1460,Male,18,1.65,85,31.22130395
1461,Male,26,1.74,80,26.42356982
1462,Male,19,1.7,50,17.30103806
1463,Male,23,1.71,50,17.09927841
1464,Male,23,1.67,85.5,30.65724838
1465,Female,23,1.63,45,16.93703188
1466,Male,22,1.88,90,25.46401086
1467,Female,22,1.6,82,32.03125
1468,Female,31,1.62,68,25.91068435
1469,Male,41,1.8,92,28.39506173
1470,Female,52,1.69,87,30.46111831
1471,Female,22,1.73,79,26.3958034
1472,Female,38,1.5,60,26.66666667
1473,Female,23,1.65,70,25.71166208
1474,Female,19,1.63,76,28.60476495
1475,Male,22,1.78,89.8,28.34238101
1476,Male,33,1.72,83,28.05570579
1477,Male,21,1.71,75,25.64891762
1478,Female,19,1.54,42,17.70956316
1479,Male,21,1.79,105,32.77051278
1480,Male,23,1.74,93.5,30.88254723
1481,Male,18,1.7,80,27.6816609
1482,Female,36,1.63,80,30.1102789
1483,Male,23,1.87,95,27.16691927
1484,Female,24,1.7,80,27.6816609
1485,Female,20,1.6,65,25.390625
1486,Male,26,1.85,105,30.67932798
1487,Male,23,1.8,90,27.77777778
1488,Male,23,1.89,65,18.19657904
1489,Female,18,1.6,83,32.421875
1490,Female,20,1.64,49,18.21832243
1491,Female,17,1.7,85,29.41176471
1492,Male,27,1.64,78,29.00059488
1493,Male,19,1.82,87,26.26494385
1494,Female,45,1.63,77,28.98114344
1495,Male,35,1.77,85,27.13141179
1496,Male,19,1.8,87,26.85185185
1497,Female,21,1.6,68,26.5625
1498,Male,21,1.62,70,26.6727633
1499,Male,21,1.62,70,26.6727633
1500,Female,39,1.65,50,18.36547291
1503960366,Female,21,1.523908061,52.59999847,22.64999962
1624580081,Female,20,1.670815342,51.24263039,18.35585026
1644430081,Male,30,1.816611633,61.90022676,18.75720211
1844505072,Male,37,1.762763526,69.40136054,22.33468713
1927972279,Male,46,1.675756991,133.5,47.54000092
2022484408,Male,39,1.732791466,64.55328798,21.49937165
2026352035,Male,25,1.721869444,65.44217687,22.07279344
2320127002,Female,25,1.74498349,55.91836735,18.36419257
2347167796,Male,29,1.772923546,64.16780045,20.4144243
2873212765,Female,30,1.625352362,57.29999924,21.69000053
3372868164,Male,41,1.778257557,61.88662132,19.57074902
3977333714,Male,25,1.724663449,50.96145125,17.13298632
4020332650,Female,27,1.696215392,54.72562358,19.02079737
4057192912,Female,24,1.688849378,57.80045351,20.26513073
4319703577,Male,40,1.624996547,72.30000305,27.37999916
4388161847,Female,23,1.717551435,51.76417234,17.54727859
4445114986,Male,19,1.73482347,56.96598639,18.9280138
4558609924,Female,28,1.599768484,69.09999847,27
4702921684,Male,21,1.70485141,55.53741497,19.10788396
5553957443,Female,25,1.734315469,52.64852608,17.50370648
5577150313,Male,46,1.799801546,90.69999695,28
6117666160,Male,44,1.805689611,63.49206349,19.473017
6290855005,Female,36,1.688087376,58.73015873,20.60968387
6775888955,Male,45,1.743713487,64.83900227,21.32485416
6962181067,Female,34,1.600320631,61.90000153,24.17000008
7007744171,Male,27,1.809245618,62.53968254,19.10559702
7086361926,Female,23,1.70510541,56.25396825,19.34865135
8053475328,Male,28,1.722885446,64.07256236,21.58535959
8253242879,Male,27,1.749555499,65.09750567,21.26713073
8378563200,Female,18,1.612395225,44.39909297,17.07776729
8583815059,Female,22,1.737871476,58.73015873,19.44580223
8792009665,Male,29,1.717805436,64.33106576,21.80081859
8877689391,Male,38,1.827919272,84,25.13999939
